"n0","n1","n0adj","n1adj","p0","p1","power","MDEdiff","MDEratio","arms","deff","country","label"
2544,255,1587,159,0.137578616352201,0.0645786163522009,0.800756567683594,"-0.07"," 0.47","All",1.60275202900998,"Bangladesh","Ascaris qPCR"
631,57,394,36,0.15689381933439,0.0140938193343908,0.800562956667041,"-0.14"," 0.09","Control only",1.60275202900998,"Bangladesh","Ascaris qPCR"
6496,691,4267,454,0.366071428571429,0.300471428571436,0.80025859339342,"-0.07"," 0.82","All",1.5222946970821,"Bangladesh","Ascaris KK"
1393,137,915,90,0.36826992103374,0.225169921033756,0.800306760647373,"-0.14"," 0.61","Control only",1.5222946970821,"Bangladesh","Ascaris KK"
2544,255,1690,169,0.226022012578616,0.136822012578626,0.800810317169998,"-0.09"," 0.61","All",1.50489267535269,"Bangladesh","Hook qPCR"
631,57,419,38,0.232963549920761,0.0590635499207707,0.800686237448917,"-0.17"," 0.25","Control only",1.50489267535269,"Bangladesh","Hook qPCR"
6496,691,4625,492,0.0829741379310345,0.0488741379310335,0.801713378691442,"-0.03"," 0.59","All",1.40451253084368,"Bangladesh","Hook KK"
1393,137,992,98,0.0969131371141421,0.0225131371141403,0.800885218675938,"-0.07"," 0.23","Control only",1.40451253084368,"Bangladesh","Hook KK"
2544,255,1163,117,0.129323899371069,0.0484238993710675,0.800728253153555,"-0.08"," 0.37","All",2.18792084436408,"Bangladesh","Trichuris qPCR"
631,57,288,26,0.144215530903328,-0.00478446909667237,0.801096129860277,"-0.15","-0.03","Control only",2.18792084436408,"Bangladesh","Trichuris qPCR"
6496,691,3590,382,0.0748152709359606,0.0385152709359596,0.802060958490316,"-0.04"," 0.51","All",1.80958098174954,"Bangladesh","Trichuris KK"
1393,137,770,76,0.0804020100502513,0.00710201005024999,0.802384841844519,"-0.07"," 0.09","Control only",1.80958098174954,"Bangladesh","Trichuris KK"
6233,661,4191,444,0.331622011872293,0.2670220118723,0.800855692159162,"-0.06"," 0.81","All",1.48708307536097,"Bangladesh","Giardia qPCR"
1336,129,898,87,0.36751497005988,0.222314970059896,0.800150090842361,"-0.15"," 0.60","Control only",1.48708307536097,"Bangladesh","Giardia qPCR"
2544,255,1318,132,0.364779874213836,0.24567987421385,0.800601031989598,"-0.12"," 0.67","All",1.92987923817166,"Bangladesh","Any STH qPCR"
631,57,327,30,0.38351822503962,0.145018225039646,0.800036357994837,"-0.24"," 0.38","Control only",1.92987923817166,"Bangladesh","Any STH qPCR"
