"Variable","N, finished","Result, finished","N, unfinished","Results, unfinished"
"Maternal","","","",""
"Mother's age, years","668","24.2","2122","23.7"
"Mother's height, cm","666","151.9","2125","151.5"
"At least some primary education","670","13.3","2146","15.7"
"At least some secondary education","670","82.8","2146","80.2"
"Compound","","","",""
"# individuals living in compound <=18 yrs","670","1.7","2146","1.7"
"Total individuals living in compound","670","9.9","2146","10.7"
"Household","","","",""
"Food secure","670","91.5","2146","89.2"
"Has electricity","670","89.4","2146","83.7"
"Has improved wall materials","670","91.9","2146","66.5"
"Has improved roof material","670","100.0","2146","99.9"
"Owns >=1 tv","670","70.7","2146","56.4"
"Owns >=1 bicycle","670","35.4","2146","41.7"
"Owns >=1 motorcycle","670","23.0","2146","11.2"
"Owns >=1 mobile phone","670","98.5","2146","95.2"
"Child","","","",""
"Child age, years","670","4.7","2146","4.7"
"Male, %","670","49.3","2146","49.1"
